"iso3","iso2","imfn","country","income","indicator_code","year_1960","year_1961","year_1962","year_1963","year_1964","year_1965","year_1966","year_1967","year_1968","year_1969","year_1970","year_1971","year_1972","year_1973","year_1974","year_1975","year_1976","year_1977","year_1978","year_1979","year_1980","year_1981","year_1982","year_1983","year_1984","year_1985","year_1986","year_1987","year_1988","year_1989","year_1990","year_1991","year_1992","year_1993","year_1994","year_1995","year_1996","year_1997","year_1998","year_1999","year_2000","year_2001","year_2002","year_2003","year_2004","year_2005","year_2006","year_2007","year_2008","year_2009","year_2010","year_2011","year_2012","year_2013","year_2014","year_2015","year_2016","year_2017","year_2018","year_2019","year_2020","year_2021"
"GBR","GB",112,"United Kingdom","High income","ai01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GBR","GB",112,"United Kingdom","High income","ai02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.02596,28.317133,26.430428,26.380866,26.027516,25.411379,24.698955,24.056512,22.083341,25.139914,NA,NA,NA,NA,NA,NA,NA,NA
"GBR","GB",112,"United Kingdom","High income","ai25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.64861,120.93796,125.80211,125.56228,121.15202,121.92121,123.41545,125.92341,128.51327,129.51353,131.28552,129.4971,127.93752,115.44206,110.27616,98.627483,NA
"GBR","GB",112,"United Kingdom","High income","oi06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.54538,50.21638,50.42283,48.18227,81.3091,65.81567,67.48431,74.22931,77.85661,75.66512,76.14011,76.40106,75.1113,73.98329,74.06314,74.38049,75.02448,74.85162,61.81441,61.58933,60.95381,59.85045
"GBR","GB",112,"United Kingdom","High income","om01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.15491,45.68422,50.771,49.73619,48.39373,47.21721,42.65643,40.46977,39.35537,38.47785,37.41804,37.06684,36.2839,35.00893,34.25215,33.9927,35.29828,33.30994,33.38611,30.19057,33.97161,35.08865,35.08414,41.01756,39.05766,41.22765,41.23839,40.50835,38.74424,41.44169,45.64478,47.87432,42.20313,39.07325,34.98925,33.53707,31.41064,29.49755,28.95759,28.76059,NA,NA,NA,NA,NA,NA,NA
"GBR","GB",112,"United Kingdom","High income","om02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.7089,23.6445,31.69638,-8.796981,19.10485,-1.604535,8.702823,2.993301,19.24123,7.878866,4.70431,15.00478,18.02744,17.44639,11.22653,4.293762,-11.97352,-17.04216,-11.00675,13.68543,14.98132,16.78057,9.384473,-17.55815,-14.56177,21.03634,4.592677,1.204219,14.86458,4.302534,0.4042638,-1.478997,14.17739,0.238095,-1.290335,-12.50021,14.37628
"GEO","GE",915,"Georgia","Upper middle income","ai01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.14057,353.86781,441.51374,495.2883,554.808,598.70416,683.4663,732.45499,823.49174,806.19293,871.56933,897.68435,977.55636,1063.5962,1182.5175,902.36373,868.7907,NA
"GEO","GE",915,"Georgia","Upper middle income","ai02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.158805,11.677208,14.00015,17.035981,21.806582,20.72018,21.211577,23.596588,27.984325,32.884994,32.40385,32.165877,32.724905,33.233799,31.516928,33.580283,31.724454,NA
"GEO","GE",915,"Georgia","Upper middle income","ai25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1453378,5.8544267,13.841777,26.553288,42.311752,43.646675,48.281283,50.96343,63.415826,68.111847,71.023948,70.128899,74.420088,76.034398,77.621308,85.076774,90.887184,NA
"GEO","GE",915,"Georgia","Upper middle income","oi06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.67288,NA,94.25366,93.68143,95.00933,94.8148,88.29932,92.20615,99.09064,98.34269,98.3922,98.27982,95.65498,95.38182,96.00494,86.55869,91.38811,89.47228,92.57396,90.02193,90.33383,91.09256
"GEO","GE",915,"Georgia","Upper middle income","om01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GEO","GE",915,"Georgia","Upper middle income","om02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GHA","GH",652,"Ghana","Lower middle income","ai01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.62109,206.65536,217.52904,244.01385,267.81107,278.5231,340.57667,447.62767,448.25228,491.92966,583.90783,543.56841,614.09398,725.21319,766.70379,762.37444,NA
"GHA","GH",652,"Ghana","Lower middle income","ai02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0380804,3.2016447,3.5614754,4.5086185,4.7036855,5.0211574,5.2776482,5.2892971,5.5690072,5.7215846,5.935259,6.9830479,6.9849093,8.4163012,8.5433516,8.3034751,6.1427574,NA
"GHA","GH",652,"Ghana","Lower middle income","ai25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7926113,3.8292319,3.8685028,3.9960704,5.3613493,7.9391581,7.981283,9.9923814,10.922064,11.288005,11.514952,11.143033,11.451124,NA
